name	type	units	sampling_frequency	tracked_point	component	placement	datafile
PhaseSpace_Rigid8_eul_y	ORNT	radians	250.001011993394	RightAnkle	y	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_eul_x	ORNT	radians	250.001011993394	RightAnkle	x	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_cart_X	POS	meters	250.001011993394	RightAnkle	X	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_cart_Y	POS	meters	250.001011993394	RightAnkle	Y	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_cart_Z	POS	meters	250.001011993394	RightAnkle	Z	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_eul_z	ORNT	radians	250.001011993394	RightForeFoot	z	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_eul_y	ORNT	radians	250.001011993394	RightForeFoot	y	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_eul_x	ORNT	radians	250.001011993394	RightForeFoot	x	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_cart_X	POS	meters	250.001011993394	RightForeFoot	X	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_cart_Y	POS	meters	250.001011993394	RightForeFoot	Y	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_cart_Z	POS	meters	250.001011993394	RightForeFoot	Z	right forefoot	...acq-PhS_motion.tsv
