name	type	units	sampling_frequency	tracked_point	component	placement	datafile
headRigid_eul_z	ORNT	radians	60.0063590670022	JoyStickRotation	z	n/a	...acq-motion_motion.tsv
headRigid_eul_y	ORNT	radians	60.0063590670022	JoyStickRotation	y	n/a	...acq-motion_motion.tsv
headRigid_eul_x	ORNT	radians	60.0063590670022	JoyStickRotation	x	n/a	...acq-motion_motion.tsv
headRigid_cart_X	POS	virtual meters	60.0063590670022	JoyStickRotation	X	n/a	...acq-motion_motion.tsv
headRigid_cart_Y	POS	virtual meters	60.0063590670022	JoyStickRotation	Y	n/a	...acq-motion_motion.tsv
headRigid_cart_Z	POS	virtual meters	60.0063590670022	JoyStickRotation	Z	n/a	...acq-motion_motion.tsv
