name	type	units	sampling_frequency	tracked_point	component	placement	datafile
PhaseSpace_Rigid6_cart_Z	POS	meters	250.000785186523	RighttThigh	Z	right thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid7_eul_z	ORNT	radians	250.000785186523	RightLowerLeg	z	right lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid7_eul_y	ORNT	radians	250.000785186523	RightLowerLeg	y	right lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid7_eul_x	ORNT	radians	250.000785186523	RightLowerLeg	x	right lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid7_cart_X	POS	meters	250.000785186523	RightLowerLeg	X	right lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid7_cart_Y	POS	meters	250.000785186523	RightLowerLeg	Y	right lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid7_cart_Z	POS	meters	250.000785186523	RightLowerLeg	Z	right lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_eul_z	ORNT	radians	250.000785186523	RightAnkle	z	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_eul_y	ORNT	radians	250.000785186523	RightAnkle	y	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_eul_x	ORNT	radians	250.000785186523	RightAnkle	x	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_cart_X	POS	meters	250.000785186523	RightAnkle	X	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_cart_Y	POS	meters	250.000785186523	RightAnkle	Y	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_cart_Z	POS	meters	250.000785186523	RightAnkle	Z	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_eul_z	ORNT	radians	250.000785186523	RightForeFoot	z	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_eul_y	ORNT	radians	250.000785186523	RightForeFoot	y	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_eul_x	ORNT	radians	250.000785186523	RightForeFoot	x	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_cart_X	POS	meters	250.000785186523	RightForeFoot	X	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_cart_Y	POS	meters	250.000785186523	RightForeFoot	Y	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_cart_Z	POS	meters	250.000785186523	RightForeFoot	Z	right forefoot	...acq-PhS_motion.tsv
