name	type	units	sampling_frequency	tracked_point	component	placement	datafile
headRigid_eul_z	ORNT	radians	60.0081312802793	JoyStickRotation	z	n/a	...acq-motion_motion.tsv
headRigid_eul_y	ORNT	radians	60.0081312802793	JoyStickRotation	y	n/a	...acq-motion_motion.tsv
headRigid_eul_x	ORNT	radians	60.0081312802793	JoyStickRotation	x	n/a	...acq-motion_motion.tsv
headRigid_cart_X	POS	virtual meters	60.0081312802793	JoyStickRotation	X	n/a	...acq-motion_motion.tsv
headRigid_cart_Y	POS	virtual meters	60.0081312802793	JoyStickRotation	Y	n/a	...acq-motion_motion.tsv
headRigid_cart_Z	POS	virtual meters	60.0081312802793	JoyStickRotation	Z	n/a	...acq-motion_motion.tsv
