onset	duration	sample	type	value
32.1198104067791	0	8031	Markers	BASE-START
151.527105582765	0	37883	Markers	BASE-END
189.594880880563	0	47400	Markers	START-walkWarning , Sub-No.-78
189.61488076251	0	47405	Markers	Trial Start: No.0-angle:40-right-right-kongruent-blue-FA:no
194.286853185314	0	48573	Markers	right
194.290853161704	0	48574	Markers	WARN-right
194.294853138093	0	48575	Markers	Start Vibro right
194.594851367297	0	48650	Markers	Stop Vibro right
194.790850210377	0	48699	Markers	Time between Warning and LED: 0.502
194.790850210377	0	48699	Markers	Stim-40-R-walkWarning-048-blue-1-kongruent
195.070848557634	0	48769	Markers	WiimoteButtonB pressed
195.070848557634	0	48769	Markers	BUT-RIGHT-ButtonB-Press
195.22684763682	0	48808	Markers	WiimoteButtonB released
195.298847211829	0	48826	Markers	WiimoteButtonB pressed
195.298847211829	0	48826	Markers	BUT-RIGHT-ButtonB-Press
195.410846550732	0	48854	Markers	WiimoteButtonB released
196.342841049459	0	49087	Markers	Reaction: 0.282-right-blue-correct
196.342841049459	0	49087	Markers	End-Trial-6.728
196.378840836964	0	49096	Markers	Trial Start: No.1-angle:40-left-left-kongruent-yellow-FA:no
197.954831534382	0	49490	Markers	WARN-left
197.954831534382	0	49490	Markers	left
197.962831487161	0	49492	Markers	Start Vibro left
198.262829716365	0	49567	Markers	Stop Vibro left
198.458828559445	0	49616	Markers	Time between Warning and LED: 0.502
198.458828559445	0	49616	Markers	Stim-40-L-walkWarning-175-yellow-1-kongruent
198.738826906702	0	49686	Markers	WiimoteButtonB pressed
198.738826906702	0	49686	Markers	BUT-LEFT-ButtonB-Press
198.854826221994	0	49715	Markers	WiimoteButtonB released
200.006819422138	0	50003	Markers	Reaction: 0.282-left-yellow-correct
200.010819398527	0	50004	Markers	End-Trial-3.632
200.042819209642	0	50012	Markers	Trial Start: No.2-angle:40-right-right-kongruent-yellow-FA:no
201.538810379273	0	50386	Markers	right
201.538810379273	0	50386	Markers	WARN-right
201.542810355663	0	50387	Markers	Start Vibro right
201.842808584867	0	50462	Markers	Stop Vibro right
202.038807427947	0	50511	Markers	Time between Warning and LED: 0.501
202.038807427947	0	50511	Markers	Stim-40-R-walkWarning-292-yellow-1-kongruent
202.306805846035	0	50578	Markers	WiimoteButtonB pressed
202.306805846035	0	50578	Markers	BUT-RIGHT-ButtonB-Press
