onset	duration	sample	type	value
2.49198991254266	0	624	Markers	BASE-START
119.491516303992	0	29874	Markers	BASE-END
190.719227977582	0	47681	Markers	WiimoteButtonTwo pressed
191.187226083148	0	47798	Markers	WiimoteButtonTwo released
210.41114826562	0	52604	Markers	WiimoteButtonB pressed
210.599147504608	0	52651	Markers	WiimoteButtonB released
240.291027313282	0	60074	Markers	WiimoteButtonB pressed
240.475026568462	0	60120	Markers	WiimoteButtonB released
243.167015671418	0	60793	Markers	WiimoteButtonB pressed
243.311015088515	0	60829	Markers	WiimoteButtonB released
287.402836606906	0	71852	Markers	START-walk , Sub-No.-64
287.422836525947	0	71857	Markers	Trial Start: No.0-angle:60-right-right-kongruent-yellow-FA:no
288.818830875028	0	72206	Markers	Stim-60-R-walk-056-yellow--1-kongruent
290.370824592631	0	72594	Markers	no-response
290.370824592631	0	72594	Markers	Reaction: incorrect
290.370824592631	0	72594	Markers	End-Trial-2.949
290.402824463097	0	72602	Markers	Trial Start: No.1-angle:40-right-right-kongruent-yellow-FA:no
291.762818957904	0	72942	Markers	Stim-NOTshown
292.286816836785	0	73073	Markers	Stim-NOTshown
292.806814731858	0	73203	Markers	Stim-NOTshown
293.326812626931	0	73333	Markers	Stim-NOTshown
293.846810522004	0	73463	Markers	Stim-40-R-walk-065-yellow-1-kongruent
294.33880853042	0	73586	Markers	BUT-RIGHT-ButtonB-Press
294.33880853042	0	73586	Markers	WiimoteButtonB pressed
294.598807477956	0	73651	Markers	WiimoteButtonB released
295.398804239607	0	73851	Markers	Reaction: 0.491-right-yellow-correct
295.402804223415	0	73852	Markers	End-Trial-4.997
295.434804093881	0	73860	Markers	Trial Start: No.2-angle:40-right-right-kongruent-blue-FA:no
296.798798572496	0	74201	Markers	Stim-40-R-walk-120-blue-1-kongruent
297.198796953322	0	74301	Markers	WiimoteButtonB pressed
297.20279693713	0	74302	Markers	BUT-RIGHT-ButtonB-Press
297.622795236997	0	74407	Markers	WiimoteButtonB released
297.734794783628	0	74435	Markers	BUT-RIGHT-ButtonB-Press
297.734794783628	0	74435	Markers	WiimoteButtonB pressed
297.978793795931	0	74496	Markers	WiimoteButtonB released
298.350792290099	0	74589	Markers	Reaction: 0.403-right-blue-correct
298.350792290099	0	74589	Markers	End-Trial-2.915
298.386792144373	0	74598	Markers	Trial Start: No.3-angle:60-left-left-kongruent-yellow-FA:no
299.730786703947	0	74934	Markers	Stim-60-L-walk-181-yellow-1-kongruent
300.222784712362	0	75057	Markers	WiimoteButtonB pressed
300.22678469617	0	75058	Markers	BUT-LEFT-ButtonB-Press
300.442783821816	0	75112	Markers	WiimoteButtonB released
301.28278042155	0	75322	Markers	Reaction: 0.493-left-yellow-correct
301.286780405358	0	75323	Markers	End-Trial-2.899
301.318780275824	0	75331	Markers	Trial Start: No.4-angle:40-left-left-kongruent-yellow-FA:no
302.682774754439	0	75672	Markers	Stim-40-L-walk-281-yellow-1-kongruent
303.162772811429	0	75792	Markers	WiimoteButtonB pressed
303.166772795238	0	75793	Markers	BUT-LEFT-ButtonB-Press
303.430771726582	0	75859	Markers	WiimoteButtonB released
304.234768472042	0	76060	Markers	Reaction: 0.483-left-yellow-correct
304.234768472042	0	76060	Markers	End-Trial-2.916
304.270768326316	0	76069	Markers	Trial Start: No.5-angle:40-left-left-kongruent-blue-FA:no
305.794762157261	0	76450	Markers	Stim-NOTshown
306.318760036142	0	76581	Markers	Stim-40-L-walk-263-blue--1-kongruent
306.794758109325	0	76700	Markers	WiimoteButtonB pressed
306.794758109325	0	76700	Markers	BUT-LEFT-ButtonB-Press
307.058757040669	0	76766	Markers	WiimoteButtonB released
307.142756700643	0	76787	Markers	BUT-LEFT-ButtonB-Press
307.142756700643	0	76787	Markers	WiimoteButtonB pressed
307.542755081468	0	76887	Markers	WiimoteButtonB released
307.866753769937	0	76968	Markers	Reaction: 0.476-left-blue-correct
307.870753753745	0	76969	Markers	End-Trial-3.601
307.902753624211	0	76977	Markers	Trial Start: No.6-angle:40-right-right-kongruent-yellow-FA:no
309.430747438964	0	77359	Markers	Stim-40-R-walk-191-yellow--1-kongruent
309.886745593105	0	77473	Markers	WiimoteButtonB pressed
309.886745593105	0	77473	Markers	BUT-RIGHT-ButtonB-Press
310.122744637792	0	77532	Markers	WiimoteButtonB released
310.982741156567	0	77747	Markers	Reaction: 0.457-right-yellow-correct
310.982741156567	0	77747	Markers	End-Trial-3.08
311.018741010841	0	77756	Markers	Trial Start: No.7-angle:60-left-left-kongruent-yellow-FA:no
312.362735570415	0	78092	Markers	Stim-60-L-walk-125-yellow--1-kongruent
312.81073375694	0	78204	Markers	WiimoteButtonB pressed
312.81073375694	0	78204	Markers	BUT-LEFT-ButtonB-Press
313.094732607326	0	78275	Markers	WiimoteButtonB released
313.914729288018	0	78480	Markers	Reaction: 0.447-left-yellow-correct
313.914729288018	0	78480	Markers	End-Trial-2.897
313.950729142292	0	78489	Markers	Trial Start: No.8-angle:40-right-right-kongruent-blue-FA:no
315.294723701866	0	78825	Markers	Stim-40-R-walk-016-blue--1-kongruent
315.854721435021	0	78965	Markers	WiimoteButtonB pressed
315.854721435021	0	78965	Markers	BUT-RIGHT-ButtonB-Press
316.058720609242	0	79016	Markers	WiimoteButtonB released
316.17872012349	0	79046	Markers	WiimoteButtonB pressed
316.182720107298	0	79047	Markers	BUT-RIGHT-ButtonB-Press
316.394719249136	0	79100	Markers	WiimoteButtonB released
316.846717419469	0	79213	Markers	Reaction: 0.561-right-blue-correct
316.846717419469	0	79213	Markers	End-Trial-2.898
316.882717273743	0	79222	Markers	Trial Start: No.9-angle:40-left-left-kongruent-yellow-FA:no
318.206711914275	0	79553	Markers	Stim-NOTshown
318.726709809348	0	79683	Markers	Stim-NOTshown
319.25070768823	0	79814	Markers	Stim-NOTshown
319.770705583303	0	79944	Markers	Stim-NOTshown
320.290703478376	0	80074	Markers	Stim-40-L-walk-026-yellow-1-kongruent
320.802701405832	0	80202	Markers	WiimoteButtonB pressed
320.802701405832	0	80202	Markers	BUT-LEFT-ButtonB-Press
321.046700418136	0	80263	Markers	WiimoteButtonB released
321.842697195979	0	80462	Markers	Reaction: 0.51-left-yellow-correct
321.846697179787	0	80463	Markers	End-Trial-4.962
321.878697050253	0	80471	Markers	Trial Start: No.10-angle:25-right-right-kongruent-blue-FA:no
323.474690589747	0	80870	Markers	Stim-25-R-walk-169-blue-1-kongruent
323.99468848482	0	81000	Markers	WiimoteButtonB pressed
