onset	duration	sample	type	value
259.254786198301	0	64815	Markers	BUT-RIGHT-ButtonB-Press
259.254786198301	0	64815	Markers	WiimoteButtonB pressed
259.422785411747	0	64857	Markers	WiimoteButtonB released
260.490780411515	0	65124	Markers	Reaction: 0.315-right-blue-correct
260.490780411515	0	65124	Markers	End-Trial-3.015
260.526780242968	0	65133	Markers	Trial Start: No.10-angle:60-left-left-kongruent-blue-FA:no
261.906773781993	0	65478	Markers	Stim-60-L-walk-118-blue--1-kongruent
262.154772620891	0	65540	Markers	WiimoteButtonB pressed
262.154772620891	0	65540	Markers	BUT-LEFT-ButtonB-Press
262.3427717407	0	65587	Markers	WiimoteButtonB released
263.454766534466	0	65865	Markers	Reaction: 0.249-left-blue-correct
263.458766515738	0	65866	Markers	End-Trial-2.931
263.490766365919	0	65874	Markers	Trial Start: No.11-angle:60-left-left-kongruent-blue-FA:no
264.822760129674	0	66207	Markers	Stim-60-L-walk-042-blue--1-kongruent
265.126758706387	0	66283	Markers	BUT-LEFT-ButtonB-Press
265.126758706387	0	66283	Markers	WiimoteButtonB pressed
265.314757826196	0	66330	Markers	WiimoteButtonB released
266.374752863419	0	66595	Markers	Reaction: 0.306-left-blue-correct
266.374752863419	0	66595	Markers	End-Trial-2.883
266.406752713599	0	66603	Markers	Trial Start: No.12-angle:45-right-right-kongruent-blue-FA:no
267.802746177715	0	66952	Markers	Stim-NOTshown
268.322743743145	0	67082	Markers	Stim-NOTshown
268.842741308575	0	67212	Markers	Stim-NOTshown
269.362738874005	0	67342	Markers	Stim-NOTshown
269.882736439435	0	67472	Markers	Stim-NOTshown
270.402734004865	0	67602	Markers	Stim-NOTshown
270.922731570295	0	67732	Markers	Stim-NOTshown
271.442729135725	0	67862	Markers	Stim-NOTshown
271.962726701155	0	67992	Markers	Stim-NOTshown
272.482724266585	0	68122	Markers	Stim-45-R-walk-044-blue-1-kongruent
272.938722131654	0	68236	Markers	WiimoteButtonB pressed
272.938722131654	0	68236	Markers	BUT-RIGHT-ButtonB-Press
273.07472149492	0	68270	Markers	WiimoteButtonB released
274.03471700033	0	68510	Markers	Reaction: 0.456-right-blue-correct
274.03471700033	0	68510	Markers	End-Trial-7.627
274.070716831783	0	68519	Markers	Trial Start: No.13-angle:40-left-left-kongruent-yellow-FA:no
275.534709977532	0	68885	Markers	Stim-40-L-walk-113-yellow-1-kongruent
275.766708891339	0	68943	Markers	BUT-LEFT-ButtonB-Press
275.766708891339	0	68943	Markers	WiimoteButtonB pressed
275.898708273333	0	68976	Markers	WiimoteButtonB released
276.022707692781	0	69007	Markers	WiimoteButtonB pressed
276.022707692781	0	69007	Markers	BUT-LEFT-ButtonB-Press
276.142707130957	0	69037	Markers	WiimoteButtonB released
277.086702711276	0	69273	Markers	Reaction: 0.232-left-yellow-correct
277.086702711276	0	69273	Markers	End-Trial-3.016
277.122702542729	0	69282	Markers	Trial Start: No.14-angle:60-left-left-kongruent-yellow-FA:no
278.650695388839	0	69664	Markers	Stim-60-L-walk-187-yellow-1-kongruent
278.938694040462	0	69736	Markers	WiimoteButtonB pressed
278.938694040462	0	69736	Markers	BUT-LEFT-ButtonB-Press
279.070693422455	0	69769	Markers	WiimoteButtonB released
279.182692898087	0	69797	Markers	WiimoteButtonB pressed
279.182692898087	0	69797	Markers	BUT-LEFT-ButtonB-Press
279.286692411173	0	69823	Markers	WiimoteButtonB released
280.202688122584	0	70052	Markers	Reaction: 0.289-left-yellow-correct
280.202688122584	0	70052	Markers	End-Trial-3.082
280.238687954037	0	70061	Markers	Trial Start: No.15-angle:60-left-left-kongruent-blue-FA:no
281.730680968693	0	70434	Markers	Stim-60-L-walk-270-blue-1-kongruent
282.018679620316	0	70506	Markers	WiimoteButtonB pressed
282.018679620316	0	70506	Markers	BUT-LEFT-ButtonB-Press
282.130679095947	0	70534	Markers	WiimoteButtonB released
283.282673702438	0	70822	Markers	Reaction: 0.286-left-blue-correct
283.282673702438	0	70822	Markers	End-Trial-3.047
283.318673533891	0	70831	Markers	Trial Start: No.16-angle:40-left-left-kongruent-blue-FA:no
284.662667241464	0	71167	Markers	Stim-NOTshown
285.186664788167	0	71298	Markers	Stim-NOTshown
285.702662372324	0	71427	Markers	Stim-NOTshown
286.222659937754	0	71557	Markers	Stim-NOTshown
286.742657503184	0	71687	Markers	Stim-NOTshown
287.262655068614	0	71817	Markers	Stim-NOTshown
287.786652615317	0	71948	Markers	Stim-NOTshown
288.306650180747	0	72078	Markers	Stim-NOTshown
288.826647746176	0	72208	Markers	Stim-40-L-walk-262-blue--1-kongruent
289.14664624798	0	72288	Markers	WiimoteButtonB pressed
289.14664624798	0	72288	Markers	BUT-LEFT-ButtonB-Press
289.322645423971	0	72332	Markers	WiimoteButtonB released
290.378640479921	0	72596	Markers	Reaction: 0.321-left-blue-correct
