name	type	units	sampling_frequency	tracked_point	component	placement	datafile
PhaseSpace_Rigid1_eul_z	ORNT	radians	250.001170474229	Head	z	head	...acq-PhS_motion.tsv
PhaseSpace_Rigid1_eul_y	ORNT	radians	250.001170474229	Head	y	head	...acq-PhS_motion.tsv
PhaseSpace_Rigid1_eul_x	ORNT	radians	250.001170474229	Head	x	head	...acq-PhS_motion.tsv
PhaseSpace_Rigid1_cart_X	POS	meters	250.001170474229	Head	X	head	...acq-PhS_motion.tsv
PhaseSpace_Rigid1_cart_Y	POS	meters	250.001170474229	Head	Y	head	...acq-PhS_motion.tsv
PhaseSpace_Rigid1_cart_Z	POS	meters	250.001170474229	Head	Z	head	...acq-PhS_motion.tsv
PhaseSpace_Rigid2_eul_z	ORNT	radians	250.001170474229	LeftThigh	z	left thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid2_eul_y	ORNT	radians	250.001170474229	LeftThigh	y	left thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid2_eul_x	ORNT	radians	250.001170474229	LeftThigh	x	left thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid2_cart_X	POS	meters	250.001170474229	LeftThigh	X	left thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid2_cart_Y	POS	meters	250.001170474229	LeftThigh	Y	left thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid2_cart_Z	POS	meters	250.001170474229	LeftThigh	Z	left thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid3_eul_z	ORNT	radians	250.001170474229	LeftLowerLeg	z	left lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid3_eul_y	ORNT	radians	250.001170474229	LeftLowerLeg	y	left lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid3_eul_x	ORNT	radians	250.001170474229	LeftLowerLeg	x	left lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid3_cart_X	POS	meters	250.001170474229	LeftLowerLeg	X	left lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid3_cart_Y	POS	meters	250.001170474229	LeftLowerLeg	Y	left lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid3_cart_Z	POS	meters	250.001170474229	LeftLowerLeg	Z	left lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid4_eul_z	ORNT	radians	250.001170474229	LeftAnkle	z	left ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid4_eul_y	ORNT	radians	250.001170474229	LeftAnkle	y	left ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid4_eul_x	ORNT	radians	250.001170474229	LeftAnkle	x	left ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid4_cart_X	POS	meters	250.001170474229	LeftAnkle	X	left ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid4_cart_Y	POS	meters	250.001170474229	LeftAnkle	Y	left ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid4_cart_Z	POS	meters	250.001170474229	LeftAnkle	Z	left ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid5_eul_z	ORNT	radians	250.001170474229	LeftForeFoot	z	left forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid5_eul_y	ORNT	radians	250.001170474229	LeftForeFoot	y	left forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid5_eul_x	ORNT	radians	250.001170474229	LeftForeFoot	x	left forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid5_cart_X	POS	meters	250.001170474229	LeftForeFoot	X	left forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid5_cart_Y	POS	meters	250.001170474229	LeftForeFoot	Y	left forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid5_cart_Z	POS	meters	250.001170474229	LeftForeFoot	Z	left forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid6_eul_z	ORNT	radians	250.001170474229	RighttThigh	z	right thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid6_eul_y	ORNT	radians	250.001170474229	RighttThigh	y	right thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid6_eul_x	ORNT	radians	250.001170474229	RighttThigh	x	right thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid6_cart_X	POS	meters	250.001170474229	RighttThigh	X	right thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid6_cart_Y	POS	meters	250.001170474229	RighttThigh	Y	right thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid6_cart_Z	POS	meters	250.001170474229	RighttThigh	Z	right thigh	...acq-PhS_motion.tsv
PhaseSpace_Rigid7_eul_z	ORNT	radians	250.001170474229	RightLowerLeg	z	right lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid7_eul_y	ORNT	radians	250.001170474229	RightLowerLeg	y	right lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid7_eul_x	ORNT	radians	250.001170474229	RightLowerLeg	x	right lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid7_cart_X	POS	meters	250.001170474229	RightLowerLeg	X	right lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid7_cart_Y	POS	meters	250.001170474229	RightLowerLeg	Y	right lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid7_cart_Z	POS	meters	250.001170474229	RightLowerLeg	Z	right lower leg	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_eul_z	ORNT	radians	250.001170474229	RightAnkle	z	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_eul_y	ORNT	radians	250.001170474229	RightAnkle	y	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_eul_x	ORNT	radians	250.001170474229	RightAnkle	x	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_cart_X	POS	meters	250.001170474229	RightAnkle	X	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_cart_Y	POS	meters	250.001170474229	RightAnkle	Y	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid8_cart_Z	POS	meters	250.001170474229	RightAnkle	Z	right ankle	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_eul_z	ORNT	radians	250.001170474229	RightForeFoot	z	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_eul_y	ORNT	radians	250.001170474229	RightForeFoot	y	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_eul_x	ORNT	radians	250.001170474229	RightForeFoot	x	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_cart_X	POS	meters	250.001170474229	RightForeFoot	X	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_cart_Y	POS	meters	250.001170474229	RightForeFoot	Y	right forefoot	...acq-PhS_motion.tsv
PhaseSpace_Rigid9_cart_Z	POS	meters	250.001170474229	RightForeFoot	Z	right forefoot	...acq-PhS_motion.tsv
