name	type	units	sampling_frequency	tracked_point	component	placement	datafile
headRigid_eul_z	ORNT	radians	83.7160036114691	JoyStickRotation	z	n/a	...acq-motion_motion.tsv
headRigid_eul_y	ORNT	radians	83.7160036114691	JoyStickRotation	y	n/a	...acq-motion_motion.tsv
headRigid_eul_x	ORNT	radians	83.7160036114691	JoyStickRotation	x	n/a	...acq-motion_motion.tsv
headRigid_cart_X	POS	meters	83.7160036114691	JoyStickRotation	X	n/a	...acq-motion_motion.tsv
headRigid_cart_Y	POS	meters	83.7160036114691	JoyStickRotation	Y	n/a	...acq-motion_motion.tsv
headRigid_cart_Z	POS	meters	83.7160036114691	JoyStickRotation	Z	n/a	...acq-motion_motion.tsv
