name	type	units	sampling_frequency	tracked_point	component	placement	datafile
headRigid_eul_z	ORNT	radians	85.8993999560913	JoyStickRotation	z	n/a	...acq-motion_motion.tsv
headRigid_eul_y	ORNT	radians	85.8993999560913	JoyStickRotation	y	n/a	...acq-motion_motion.tsv
headRigid_eul_x	ORNT	radians	85.8993999560913	JoyStickRotation	x	n/a	...acq-motion_motion.tsv
headRigid_cart_X	POS	meters	85.8993999560913	JoyStickRotation	X	n/a	...acq-motion_motion.tsv
headRigid_cart_Y	POS	meters	85.8993999560913	JoyStickRotation	Y	n/a	...acq-motion_motion.tsv
headRigid_cart_Z	POS	meters	85.8993999560913	JoyStickRotation	Z	n/a	...acq-motion_motion.tsv
