name	type	units	sampling_frequency	tracked_point	component	placement	datafile
headRigid_eul_z	ORNT	radians	89.4943478569037	JoyStickRotation	z	n/a	...acq-motion_motion.tsv
headRigid_eul_y	ORNT	radians	89.4943478569037	JoyStickRotation	y	n/a	...acq-motion_motion.tsv
headRigid_eul_x	ORNT	radians	89.4943478569037	JoyStickRotation	x	n/a	...acq-motion_motion.tsv
headRigid_cart_X	POS	meters	89.4943478569037	JoyStickRotation	X	n/a	...acq-motion_motion.tsv
headRigid_cart_Y	POS	meters	89.4943478569037	JoyStickRotation	Y	n/a	...acq-motion_motion.tsv
headRigid_cart_Z	POS	meters	89.4943478569037	JoyStickRotation	Z	n/a	...acq-motion_motion.tsv
